지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10),PM-10,PM-2.5,오존,이산화질소,일산화탄소,아황산가스,안개 계속시간(hr),기사
119,수원,2025-06-05,20.3,,1.8,56.8,11.7,,3.8,25,16,0.0538,0.0131,0.27,0.0032,,{햇무리}1342-1428. {햇무리}1535-1627.
119,수원,2025-06-06,23,,2.5,44.1,11.3,,4.3,31,17,0.0619,0.0103,0.3,0.0032,,
119,수원,2025-06-07,22.7,,1.9,64.6,9.7,,7.1,37,24,0.0575,0.0068,0.31,0.0029,,
119,수원,2025-06-08,23.9,0.3,1.7,74.8,8.3,,6,19,14,0.0488,0.006,0.26,0.0023,,{비}0010-0153. {박무}0017-{박무}{강도0}0300-{박무}{강도0}0600-0822. {비}0210-0233.
119,수원,2025-06-09,23,0,2,72.6,8.1,,6.5,26,19,0.0656,0.0072,0.3,0.0023,,{박무}0040-0128. {비}0046-0143.
119,수원,2025-06-10,19.9,,2.2,79.8,2.8,,7.5,19,14,0.0403,0.0113,0.29,0.0023,,{박무}0240-{박무}{강도0}0300-{박무}{강도0}0600-0754.
119,수원,2025-06-11,20.9,,2,58.9,13.3,,3,29,19,0.047,0.0148,0.32,0.003,,{박무}0421-{박무}{강도0}0600-0620.
119,수원,2025-06-12,23.4,,1.6,56.6,11.3,,5.9,37,26,0.0728,0.015,0.36,0.0031,,
119,수원,2025-06-13,22,4.5,1.6,71,0.4,,9.8,47,33,0.0589,0.0197,0.37,0.0033,,{비}1615-{비}{강도0}1800-{비}{강도0}2100-2352. {박무}1801-2034.
119,수원,2025-06-14,23.5,0.1,1.9,73.9,6.5,,5,22,17,0.0514,0.0112,0.29,0.0022,,{비}0128-0205.
119,수원,2025-06-15,24.8,3.4,2.6,73.5,8.4,,5.9,19,15,0.0463,0.0075,0.27,0.0024,,{박무}0430-{박무}{강도0}0600-0610. {비}2052-{비}{강도0}2100-{비}{강도0}2400- {박무}2235-{박무}{강도0}2400-
119,수원,2025-06-16,22.8,11.9,2.5,85.3,1.1,,8.3,31,22,0.0462,0.0096,0.33,0.002,,-{박무}-0019. {박무}0035-0204. -{비}-{비}{강도0}0300-0350. {비}0408-0453. {이슬비}0513-{이슬비}{강도0}0600-{비}0636-0705. {박무}0615-0854. {비}1243-1342. {박무}1435-{박무}{강도0}1500-1533. {비}2305-2320. {비}2342-{비}{강도0}2400-
119,수원,2025-06-17,23.5,0.1,2,79.5,7.9,,4.9,38,25,0.073,0.0087,0.31,0.0023,,-{비}-0047. {박무}0640-0734. {박무}2227-{박무}{강도0}2400-
119,수원,2025-06-18,24.4,,1.8,69.6,10.2,,3.6,39,31,0.0669,0.0119,0.36,0.0027,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0920.
119,수원,2025-06-19,26.8,0,2.1,62.5,8.3,,5.6,28,21,0.0504,0.0176,0.34,0.0029,,{비}1955-2004.
119,수원,2025-06-20,23.7,45.7,3.9,92,0,,10,6,5,0.0173,0.0063,0.2,0.0019,,{비}0030-0200. {비}0225-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도1}1500-{비}{강도1}1800-{비}{강도0}2100-{비}{강도0}2400-
119,수원,2025-06-21,21.2,0.3,1.7,91.6,0,,9.9,22,18,0.031,0.0105,0.27,0.002,,-{비}-0111. {비}0132-{비}{강도0}0300-{이슬비}0412-{이슬비}{강도0}0600-0745. {박무}0412-{박무}{강도1}0600-{박무}{강도0}0900-{박무}{강도0}1200-1336. {비}1350-{비}{강도0}1500-1545. {박무}1930-{박무}{강도0}2100-{박무}{강도0}2400-
119,수원,2025-06-22,21.8,,1.8,73.8,12.8,,0.8,28,22,0.0535,0.0071,0.32,0.0026,,-{박무}-{박무}{강도0}0300-{박무}{강도1}0600-0735. {박무}2352-{박무}{강도0}2400-
119,수원,2025-06-23,24.2,,1.4,72,12.8,,0.9,38,28,0.0597,0.0136,0.35,0.0025,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0754.
119,수원,2025-06-24,24.2,3,1.9,71.5,0.3,,9.3,21,15,0.0354,0.0148,0.32,0.0021,,{박무}0231-{박무}{강도1}0300-{박무}{강도1}0600-0617. {비}1752-{비}{강도0}1800-{비}{강도0}2100-2125. {비}2348-{비}{강도0}2400-
119,수원,2025-06-25,20.5,8,2.1,89,0,,9.8,8,8,0.0318,0.0116,0.28,0.002,,-{비}-0022. {비}0048-0057. {비}0135-0157. {비}0255-0258. {비}0556-{비}{강도0}0600-0607. {비}0618-0640. {비}0657-0730. {비}0755-{비}{강도0}0900-0944. {비}1148-{비}{강도0}1200-1346. {박무}1247-1317. {비}1405-{비}{강도0}1500-{비}{강도0}1800-{이슬비}1850-{이슬비}{강도0}2100-{비}2150-{이슬비}2325-{이슬비}{강도0}2400- {박무}1438-{박무}{강도1}1500-{박무}{강도0}1800-{박무}{강도2}2100-{박무}{강도1}2400-
119,수원,2025-06-26,21.2,0.7,1.7,87.4,1.7,,9.1,16,14,0.0311,0.0138,0.31,0.002,,-{이슬비}-0015. -{박무}-{박무}{강도1}0300-{박무}{강도0}0600-0802. {이슬비}0345-0545. {이슬비}0609-0618.
119,수원,2025-06-27,24.5,0,1.2,78.3,5.8,,7.4,31,26,0.0479,0.0191,0.4,0.0021,,{박무}0210-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1128. {비}0833-0858. {연무}1123-{연무}{강도0}1200-1241. {박무}2245-{박무}{강도0}2400-
