Incident_Date,Aircaft_Damage_Type,Time,Onboard_Total,Fatalities,Aircraft_Brand,Operator_Main,Engine_Brand,Aircraft_Age,City,lat,lng,incident_dt,weather_time_utc,temp_2m,rh_2m,dewpoint_2m,cloudcover,windspeed_10m,winddir_10m,surface_pressure,precipitation,rain,showers,snowfall,snow_depth,precipitation_probability
2005-10-06,Destroyed,5:43,1.0,1,Cessna,FedEx,Pratt Whitney,9.0,Winnipeg,49.8844,-97.1464,2005-10-06 05:43:00,2005-10-06 05:00:00,0.0,91.0,-1.3,100.0,32.4,15.0,993.5,0.5,0.0,0.0,0.35,0.13,
2004-01-05,Substantial,8:17,32.0,0,Fokker,Austrian Airlines,Rolls-Royce,9.0,Munich,48.1375,11.575,2004-01-05 08:17:00,2004-01-05 08:00:00,-1.3,86.0,-3.3,69.0,22.0,265.0,955.9,0.3,0.0,0.0,0.21,0.17,
2004-05-29,Substantial,10:13,6.0,0,British,Flightline,Lycoming,,Florence,43.7714,11.2542,2004-05-29 10:13:00,2004-05-29 10:00:00,17.7,65.0,11.0,28.0,16.7,33.0,1012.9,0.0,0.0,0.0,0.0,0.0,
2004-12-06,Destroyed,10:20,2.0,2,Cessna,Salmon Air,Pratt Whitney,4.0,Bellevue,47.5951,-122.1535,2004-12-06 10:20:00,2004-12-06 10:00:00,2.2,94.0,1.4,98.0,8.8,102.0,987.7,0.0,0.0,0.0,0.0,0.0,
2003-01-24,Damaged beyond repair,10:15,2.0,0,Cessna,FedEx,Pratt Whitney,16.0,San Angelo,31.4424,-100.4504,2003-01-24 10:15:00,2003-01-24 10:00:00,-3.8,63.0,-9.8,4.0,12.0,111.0,961.9,0.0,0.0,0.0,0.0,0.0,
2003-04-08,Destroyed,13:49,3.0,3,Dassault,Grand Aire Express,General Electric,35.0,Toledo,41.6638,-83.5827,2003-04-08 13:49:00,2003-04-08 13:00:00,-1.1,91.0,-2.4,100.0,17.9,34.0,1002.6,0.0,0.0,0.0,0.0,0.07,
2003-10-29,Substantial,8:54,1.0,1,Cessna,FedEx,Pratt Whitney,12.0,Cody,44.5213,-109.0548,2003-10-29 08:54:00,2003-10-29 08:00:00,10.1,69.0,4.6,58.0,8.8,161.0,824.1,0.0,0.0,0.0,0.0,0.0,
2003-11-29,Destroyed,8:01,1.0,1,Swearingen,Ameriflight,Garrett,22.0,Spokane,47.6671,-117.433,2003-11-29 08:01:00,2003-11-29 08:00:00,4.7,94.0,3.9,100.0,26.9,208.0,941.7,1.0,1.0,0.0,0.0,0.09,
2003-12-04,Damaged beyond repair,9:09,4.0,0,Dornier,Kato Air,Garrett,16.0,Bodo,67.2827,14.3751,2003-12-04 09:09:00,2003-12-04 09:00:00,4.8,88.0,3.0,100.0,41.8,222.0,984.6,0.7,0.6,0.0,0.07,0.01,
2002-01-21,Substantial,13:03,93.0,0,Airbus,All Nippon,IAE,3.0,Hakodate,41.7686,140.7289,2002-01-21 13:03:00,2002-01-21 13:00:00,5.3,90.0,3.7,100.0,37.6,119.0,1001.0,2.9,2.9,0.0,0.0,0.1,
2002-03-15,Substantial,2:00,1.0,1,Cessna,Priority Air Charter,Pratt Whitney,14.0,Alma,48.55,-71.65,2002-03-15 02:00:00,2002-03-15 02:00:00,-11.8,71.0,-16.0,0.0,14.4,323.0,1015.9,0.0,0.0,0.0,0.0,0.79,
2002-08-18,Damaged beyond repair,13:28,2.0,0,Learjet,Sky Service Aviation,Garrett,23.0,Olbia,40.9167,9.5,2002-08-18 13:28:00,2002-08-18 13:00:00,27.8,57.0,18.6,13.0,5.0,339.0,1012.7,0.0,0.0,0.0,0.0,0.0,
2002-08-29,Damaged beyond repair,ca 18:56,16.0,16,Antonov,Vostok Aviakompania,Glushenkov,12.0,Ayan,56.4583,138.1681,2002-08-29 12:00:00,2002-08-29 12:00:00,13.8,98.0,13.5,71.0,5.9,166.0,1009.4,0.0,0.0,0.0,0.0,0.0,
2002-12-17,Destroyed,22:51,1.0,1,Cessna,Planemasters,Pratt Whitney,14.0,Rockford,42.2596,-89.064,2002-12-17 22:51:00,2002-12-17 22:00:00,0.3,85.0,-1.9,100.0,20.4,98.0,986.0,0.2,0.2,0.0,0.0,0.0,
2002-12-27,Substantial,ca 18:00,14.0,0,Cessna,Tropic Air,Pratt Whitney,0.0,San Pedro,14.3583,121.0583,2002-12-27 12:00:00,2002-12-27 12:00:00,26.6,82.0,23.2,3.0,8.9,104.0,1009.6,0.0,0.0,0.0,0.0,0.0,
2001-02-07,Damaged beyond repair,23:09,143.0,0,Airbus,Iberia,CFMI,1.0,Bilbao,43.2569,-2.9236,2001-02-07 23:09:00,2001-02-07 23:00:00,12.8,55.0,4.0,90.0,22.7,190.0,999.1,0.0,0.0,0.0,0.0,0.0,
2001-10-16,Substantial,21:30,2.0,0,Embraer,ACE Air Cargo,Pratt Whitney,12.0,Bethel,39.8458,-75.4891,2001-10-16 21:30:00,2001-10-16 21:00:00,18.3,51.0,8.1,10.0,14.5,157.0,996.0,0.0,0.0,0.0,0.0,0.0,
2001-12-01,Destroyed,1:43,2.0,2,Cessna,Air Carriers,Pratt Whitney,3.0,Bessemer,33.3712,-86.9728,2001-12-01 01:43:00,2001-12-01 01:00:00,10.3,83.0,7.6,0.0,4.7,328.0,1001.0,0.0,0.0,0.0,0.0,0.0,
2000-03-19,Damaged beyond repair,,10.0,0,Antonov,Air Urga,Ivchenko,16.0,Goma,-1.6794,29.2336,2000-03-19 12:00:00,2000-03-19 12:00:00,19.7,85.0,17.2,98.0,7.8,338.0,850.1,0.3,0.3,0.0,0.0,0.0,
2000-03-26,Destroyed,8:40,1.0,1,Cessna,private,Williams International,5.0,Buda,30.0758,-97.8487,2000-03-26 08:40:00,2000-03-26 08:00:00,19.9,98.0,19.5,100.0,10.1,174.0,991.3,0.0,0.0,0.0,0.0,0.0,
2000-06-22,Destroyed,14:51,42.0,49,Xian,Wuhan Airlines,Harbin,12.0,Wuhan,30.5934,114.3046,2000-06-22 14:51:00,2000-06-22 14:00:00,24.7,89.0,22.9,52.0,9.4,162.0,1000.2,0.0,0.0,0.0,0.0,0.0,
2000-11-25,Destroyed,6:04,2.0,1,Aerospatiale,Mayoral Executive Jet,Pratt Whitney,24.0,Cordoba,-31.4167,-64.1833,2000-11-25 06:04:00,2000-11-25 06:00:00,13.4,79.0,9.9,0.0,7.3,11.0,971.6,0.0,0.0,0.0,0.0,0.0,
1999-01-28,Damaged beyond repair,21:15,84.0,0,McDonnell,Alitalia,Pratt Whitney,11.0,Catania,37.5027,15.0873,1999-01-28 21:15:00,1999-01-28 21:00:00,9.0,64.0,2.5,25.0,16.9,270.0,1004.4,0.0,0.0,0.0,0.0,0.0,
1999-06-01,Destroyed,23:51,145.0,11,McDonnell,American Airlines,Pratt Whitney,16.0,Little Rock,34.7256,-92.3577,1999-06-01 23:51:00,1999-06-01 23:00:00,30.6,53.0,19.8,71.0,17.8,212.0,997.2,0.0,0.0,0.0,0.0,0.0,
